LINECODE,DOWNSEQUENCE,STATIONCODE,ISTRANSFERSTATION,TSCODE
90,19,9037,0,0
90,20,9039,1,25
90,21,9041,0,0
90,22,9043,0,0
90,23,9045,0,0
90,24,9047,0,0
90,25,9049,0,0
91,1,9133,0,0
91,2,9131,0,0
91,3,9129,0,0
91,4,9127,0,0
91,5,9125,0,0
91,6,9123,0,0
91,7,9121,0,0
92,1,9237,1,57
92,2,9235,0,0
92,3,9233,0,0
92,4,9231,0,0
92,5,9229,0,0
92,6,9227,0,0
92,7,9225,0,0
92,8,9223,0,0
92,9,9221,0,0
93,1,9319,1,26
93,2,9321,0,0
93,3,9323,0,0
93,4,9325,0,0
93,5,9327,0,0
93,6,9329,0,0
93,7,9331,0,0
93,8,9333,0,0
93,9,9335,0,0
93,10,9337,0,0
93,11,9339,0,0
93,12,9341,0,0
94,1,9419,0,0
94,2,9421,0,0
94,3,9423,0,0
94,4,9425,0,0
94,5,9427,0,0
94,6,9429,0,0
94,7,9431,0,0
94,8,9433,0,0
94,9,9435,0,0
94,10,9437,1,41
94,11,9439,0,0
94,12,9441,1,52
95,0,9543,1,57
95,1,9521,1,47
95,2,9523,0,0
95,3,9525,0,0
95,4,9527,0,0
95,5,9529,0,0
95,6,9531,0,0
95,7,9533,0,0
95,8,9535,0,0
95,9,9537,0,0
95,10,9539,0,0
95,11,9541,0,0
96,1,9621,1,33
96,2,9623,0,0
96,3,9625,0,0
96,4,9627,0,0
96,5,9629,0,0
96,6,9631,0,0
96,7,9633,0,0
96,8,9635,0,0
96,9,9637,0,0
96,10,9639,0,0
96,11,9641,0,0
96,12,9643,0,0
96,13,9645,0,0
96,14,9647,0,0
97,1,9713,0,0
97,2,9712,0,0
97,3,9711,0,0
97,4,9710,0,0
97,5,9709,0,0
97,6,9708,0,0
97,7,9707,0,0
97,8,9706,0,0
97,9,9705,0,0
97,10,9704,0,0
97,11,9703,0,0
97,12,9702,1,10
97,13,9701,1,9
