LINECODE,STATIONCODE,DIRECTION,NEXTSTATIONCODE,PARKTIME
13,1321,0,0,0
13,1323,1,1325,30
13,1323,0,1321,30
13,1325,1,1327,30
13,1325,0,1323,30
13,1327,1,1329,30
13,1327,0,1325,45
13,1329,1,1331,30
13,1329,0,1327,45
13,1331,1,1333,45
13,1331,0,1329,50
13,1333,1,1335,30
13,1333,0,1331,60
13,1335,1,1337,30
13,1335,0,1333,60
13,1337,1,1339,30
13,1337,0,1335,30
13,1339,1,1341,40
13,1339,0,1337,40
13,1341,1,1343,40
13,1341,0,1339,30
13,1343,1,1345,40
13,1343,0,1341,30
13,1345,1,1347,30
13,1345,0,1343,30
13,1347,1,1349,30
13,1347,0,1345,30
13,1349,1,1351,30
13,1349,0,1347,30
13,1351,1,0,0
13,1351,0,1349,0
14,1493,1,1491,0
14,1493,0,0,0
14,1491,1,1489,30
14,1491,0,1493,30
14,1489,1,1487,40
14,1489,0,1491,40
14,1487,1,1485,40
14,1487,0,1489,40
14,1485,1,1483,45
14,1485,0,1487,45
14,1483,1,1481,40
14,1483,0,1485,40
14,1481,1,1479,40
14,1481,0,1483,40
14,1479,1,1477,40
14,1479,0,1481,40
14,1477,1,1475,30
14,1477,0,1479,30
14,1475,1,1473,30
14,1475,0,1477,30
14,1473,1,1471,45
14,1473,0,1475,45
14,1471,1,1469,45
14,1471,0,1473,45
14,1469,1,1467,0
14,1469,0,1471,0
14,1467,1,1465,45
14,1467,0,1469,45
14,1465,1,1463,45
14,1465,0,1467,45
14,1463,1,1461,45
14,1463,0,1465,45
14,1461,1,1459,40
14,1461,0,1463,40
14,1459,1,1457,0
14,1459,0,1461,0
14,1457,1,1455,45
14,1457,0,1459,45
14,1455,1,1453,45
14,1455,0,1457,45
14,1453,1,1451,45
14,1453,0,1455,45
14,1451,1,1449,40
14,1451,0,1453,40
14,1449,1,1447,40
14,1449,0,1451,40
14,1447,1,1445,0
14,1447,0,1449,0
14,1445,1,1433,45
14,1445,0,1447,45
14,1433,1,1431,0
14,1433,0,1445,0
14,1431,1,1429,45
14,1431,0,1433,45
14,1429,1,1427,50
14,1429,0,1431,50
14,1427,1,1425,40
14,1427,0,1429,40
14,1425,1,1423,35
14,1425,0,1427,35
14,1423,1,1421,40
14,1423,0,1425,40
14,1421,1,0,0
14,1421,0,1423,0
15,1563,1,1561,0
16,1635,0,1633,50
16,1637,1,1639,45
16,1637,0,1635,45
16,1639,1,0,0
16,1639,0,1637,0
84,8431,1,8429,0
84,8431,0,0,0
84,8429,1,8427,120
84,8429,0,8431,120
84,8427,1,8425,120
84,8427,0,8429,120
84,8425,1,8423,120
84,8425,0,8427,120
84,8423,1,8421,120
84,8423,0,8425,120
84,8421,1,0,0
84,8421,0,8423,0
85,8529,1,8527,0
85,8529,0,0,0
85,8527,1,8525,300
85,8527,0,8529,300
85,8525,1,8523,300
85,8525,0,8527,300
85,8523,1,0,0
85,8523,0,8525,0
89,8931,1,8929,0
89,8931,0,0,0
89,8929,1,8927,30
89,8929,0,8931,30
89,8927,1,8925,30
89,8927,0,8929,30
89,8925,1,8923,30
89,8925,0,8927,30
89,8923,1,8921,30
89,8923,0,8925,30
89,8921,1,0,0
89,8921,0,8923,0
90,9051,1,9053,55
90,9051,0,0,50
90,9053,1,9055,60
90,9053,0,9051,55
90,9055,1,9057,40
90,9055,0,9053,35
90,9057,1,9059,50
90,9057,0,9055,50
90,9059,1,9061,30
90,9059,0,9057,30
90,9061,1,9063,45
90,9061,0,9059,45
90,9063,1,9065,30
90,9063,0,9061,30
90,9065,1,9067,30
90,9065,0,9063,30
90,9067,1,9069,30
90,9067,0,9065,30
90,9069,1,9021,0
90,9069,0,9067,0
90,9021,1,9023,0
90,9021,0,9069,0
90,9023,1,9025,35
90,9023,0,9021,35
90,9025,1,9027,30
90,9025,0,9023,30
90,9027,1,9029,30
90,9027,0,9025,30
90,9029,1,9031,40
90,9029,0,9027,40
90,9031,1,9033,50
90,9031,0,9029,50
90,9033,1,9035,35
90,9033,0,9031,35
90,9035,1,9037,35
90,9035,0,9033,35
90,9037,1,9039,30
90,9037,0,9035,30
90,9039,1,9041,45
90,9039,0,9037,45
90,9041,1,9043,30
90,9041,0,9039,30
90,9043,1,9045,30
90,9043,0,9041,30
90,9045,1,9047,45
90,9045,0,9043,45
90,9047,1,9049,40
90,9047,0,9045,35
90,9049,1,0,30
90,9049,0,9047,30
91,9133,1,9131,0
91,9133,0,0,0
91,9131,1,9129,40
91,9131,0,9133,40
91,9129,1,9127,40
91,9129,0,9131,40
91,9127,1,9125,40
91,9127,0,9129,40
91,9125,1,9123,40
91,9125,0,9127,40
91,9123,1,9121,40
91,9123,0,9125,40
91,9121,1,0,0
